code,name,country,municipality
AGAF,Afutara Aerodrome,SB,Bila
AGAR,Ulawa Airport,SB,Arona
AGAT,Uru Harbour Airport,SB,Atoifi
AGBA,Barakoma Airport,SB,Barakoma
AGBT,Batuna Aerodrome,SB,Batuna Mission Station
AGEV,Geva Airport,SB,Liangia
AGGA,Gwaunaru'u Airport,SB,Auki
AGGB,Bellona/Anua Airport,SB,Anua
AGGC,Choiseul Bay Airport,SB,Choiseul Bay
AGGE,Ballalae Airport,SB,Ballalae
AGGF,Fera/Maringe Airport,SB,Fera Island
AGGH,Honiara International Airport,SB,Honiara
AGGI,Babanakira Airport,SB,Mbambanakira
AGGJ,Avu Avu Airport,SB,Avu Avu
AGGK,Ngorangora Airport,SB,Kirakira
AGGL,Santa Cruz/Graciosa Bay/Luova Airport,SB,Santa Cruz/Graciosa Bay/Luova
AGGM,Munda Airport,SB,Munda
AGGN,Nusatupe Airport,SB,Gizo
AGGO,Mono Airport,SB,Stirling Island
AGGP,Parasi Airport,SB,Parasi
AGGR,Rennell/Tingoa Airport,SB,Rennell Island
AGGS,Sege Airport,SB,Sege
AGGT,Santa Ana Airport,SB,Santa Ana Island
AGGU,Marau Airport,SB,Marau
AGGV,Suavanao Airport,SB,Suavanao
AGGY,Yandina Airport,SB,Yandina
AGIN,Isuna Heliport,SB,Veravaulo
AGKG,Kaghau Airport,SB,Kagau Island
AGKU,Kukudu Airport,SB,Kolombangara Island
AGKW,Kwailabesi Airport,SB,Kwailabesi
AGLM,Lomlom Airport,SB,Lomlom
AGNA,Nana Airport,SB,Star Harbor
AGOB,Manaoba Airport,SB,Manaoba
AGOK,Gatokae Aerodrome,SB,Gatokae
AGRC,Ringi Cove Airport,SB,Ringi Cove
AGRM,Ramata Airport,SB,Ramata
AGTI,Tulaghi Heliport,SB,Tulaghi Island
AGVH,Viru Harbour Airstrip,SB,Viru
ANYN,Nauru International Airport,NR,Yaren
AYAA,Ama Airport,PG,
AYAB,Ambaluwa Airstrip,PG,Ambulua
AYAC,Akwom Airstrip,PG,Akwom
AYAD,Ande Airstrip,PG,Sindeni
AYAE,Mount Aue Airport,PG,Aue
AYAF,Afore Airstrip,PG,Afore
AYAG,Agaun Airport,PG,Agaun
AYAH,Ali Airstrip,PG,Ali
AYAI,Aitape Airport,PG,Aitape
AYAJ,Ambua Airstrip,PG,Ambua Lodge - Tari
AYAK,Aiambak Airport,PG,Aiambak
AYAM,Amanab Airport,PG,Amanab
AYAN,Andakombe Airport,PG,Andekombe
AYAO,Aiome Airport,PG,Aiome
AYAQ,Kompiam Airport,PG,
AYAT,Ambunti Airport,PG,Ambunti
AYAU,Arou Airstrip,PG,Arou
AYAV,Arkosame Airstrip,PG,
AYAW,Awaba Airport,PG,Awaba
AYAX,Aseki Airport,PG,Aseki
AYAY,Aiyura Airport,PG,Aiyura Valley
AYAZ,Asimba Airstrip,PG,Asimba
AYBA,Baimuru Airport,PG,Baimuru
AYBC,Bambu Airport,PG,Bambu
AYBD,Bodinumu Airport,PG,Bodinumu
